차량명,연식,주행거리,가격
KG모빌리티(쌍용) 토레스 가솔린 1.5 4WD T7,22년 11월식(23년형),"49,445km","2,190만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 K8 하이브리드 노블레스,23년 2월식,"91,376km","2,580만원"
현대 디 올 뉴 싼타페 가솔린 2.5 터보 2WD 프레스티지,24년 4월식,"17,193km","3,400만원"
제네시스 G90 (RS4) 가솔린 AWD 3.5 터보,22년 9월식,"91,532km","5,930만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,21년 6월식,"79,621km","2,240만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 시그니처,21년 3월식,"71,143km","2,650만원"
제네시스 G80 (RG3) 가솔린 터보 3.5 스포츠 패키지 AWD,22년 1월식,"121,519km","3,680만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,20년 12월식(21년형),"96,976km","5,700만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,22년 4월식(23년형),"89,370km","1,890만원"
기아 더 뉴 쏘렌토 4세대 디젤 2.2 2WD 시그니처,24년 6월식,"52,805km","3,580만원"
현대 코나 1.6 터보 2WD 모던 초이스,19년 12월식(20년형),"75,840km","1,440만원"
기아 더 뉴 니로 프레스티지,20년 11월식(21년형),"93,255km","1,750만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,21년 5월식,"42,622km","2,760만원"
제네시스 G80 2.2D 럭셔리,18년 12월식(19년형),"124,139km","1,790만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄 패밀리,19년 10월식(20년형),"110,199km","1,590만원"
기아 K8 하이브리드 노블레스,21년 9월식(22년형),"76,529km","2,730만원"
볼보 V90 크로스컨트리 B6 프로 AWD,22년 5월식,"21,649km","4,810만원"
기아 쏘렌토 4세대 디젤 2.2 4WD 시그니처,21년 11월식(22년형),"79,769km","3,070만원"
르노코리아(삼성) SM6 2.0 GDe LE,16년 12월식,"113,455km",700만원
제네시스 G70 2.0T 스포츠 패키지,19년 11월식(20년형),"94,998km","2,290만원"
제네시스 GV80 디젤 3.0 AWD (5인승),22년 3월식,"104,961km","4,090만원"
현대 더 뉴 아반떼 N 가솔린 터보 2.0,26년 4월식,"1,210km","3,050만원"
아우디 A4 (B9) 40 TFSI 프리미엄,19년 12월식,"52,035km","1,860만원"
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브,19년 10월식(20년형),"78,573km","1,900만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,23년 2월식,"31,475km","2,290만원"
기아 K8 가솔린 2.5 노블레스,22년 4월식,"72,403km","2,350만원"
벤츠 GLE-클래스 W167 디젤 4WD GLE400d 4MATIC 쿠페,21년 2월식,"70,968km","6,280만원"
현대 포터2 LPi 2.5 터보 카고 더블캡 장축 4WD 프리미엄,24년 12월식(25년형),"8,448km","2,080만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 9월식(22년형),"87,789km","1,880만원"
제네시스 GV80 디젤 3.0 AWD (5인승),20년 12월식,"100,124km","4,190만원"
기아 모닝 어반 가솔린 1.0 프레스티지,21년 4월식,"30,043km","1,090만원"
현대 쏘나타 뉴 라이즈 2.0 프리미엄 스페셜,19년 1월식,"86,650km","1,570만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,24년 1월식,"33,240km","2,320만원"
기아 니로 럭셔리,18년 2월식,"104,833km","1,190만원"
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 프리미엄,22년 3월식,"75,261km","2,480만원"
기아 K5 2세대 2.0 MX 스타일 에디션,17년 10월식(18년형),"120,995km","1,040만원"
제네시스 GV80 가솔린 2.5 2WD (7인승),23년 1월식,"44,324km","5,490만원"
아우디 A6 (C8) 가솔린 4WD 45 TFSI 콰트로 프리미엄,22년 1월식,"79,238km","3,710만원"
현대 올 뉴 투싼 TL 디젤 2.0 2WD 프리미엄,18년 10월식(19년형),"60,484km","1,860만원"
현대 포터2 CRDi 특장 윙바디 (수동식) 초장축 슈퍼캡 스마트,21년 3월식,"50,371km","1,720만원"
