차량명,연식,주행거리,가격
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 쏘나타 더 브릴리언트 LPI 스마트,13년 1월식,"75,850km",750만원
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 4WD 캘리그래피,22년 11월식(23년형),"38,256km","3,550만원"
기아 더 뉴 프라이드 4DR 1.4 MPI 트렌디,15년 10월식,"32,098km",740만원
르노코리아(삼성) 뉴SM5 플래티넘 1.6 TCE 기본형,14년 1월식,"81,457km",560만원
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 프리미엄,13년 5월식,"47,641km","1,170만원"
벤츠 CLS-클래스 C257 CLS450 4MATIC,22년 8월식,"19,035km","6,410만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,23년 3월식,"15,454km","5,540만원"
지프 랭글러 (JL) 2.0 오버랜드 4도어,21년 2월식,"52,068km","4,150만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 2월식,"32,305km","1,230만원"
현대 싼타페 TM 가솔린 2.0T 2WD 프레스티지,20년 4월식,"123,041km","1,990만원"
현대 아반떼 (CN7) 가솔린 1.6 터보 (N라인) 스포츠,22년 1월식,"77,683km","1,790만원"
기아 더 뉴 K3 트렌디 스타일,17년 9월식(18년형),"104,082km",890만원
현대 싼타페 DM 디젤(e-VGT) 2.2 4WD 프리미엄,13년 5월식,"94,811km",990만원
현대 코나 일렉트릭 (SX2) 롱레인지 프리미엄,24년 4월식(25년형),"29,695km","3,390만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,15년 9월식(16년형),"76,415km",580만원
쉐보레(GM대우) 트랙스 크로스오버 터보 1.2 RS 플러스,24년 2월식,"32,307km","2,230만원"
인피니티 Q30 2.0 프리미엄,17년 5월식,"85,810km",950만원
벤츠 CLA-클래스 C117 CLA250 4MATIC,18년 7월식,"55,445km","1,890만원"
현대 LF 쏘나타 하이브리드 2.0 HEV 모던,15년 9월식(16년형),"91,450km","1,130만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,18년 10월식(19년형),"80,117km","1,970만원"
르노코리아(삼성) QM6 가솔린 2WD RE,19년 4월식,"101,149km","1,290만원"
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LS 디럭스,16년 6월식(17년형),"84,738km",650만원
르노코리아(삼성) SM3 네오 SE,14년 10월식(15년형),"60,447km",450만원
현대 제네시스 쿠페 200 터보 P,11년 12월식,"103,921km",650만원
르노코리아(삼성) SM6 2.0 GDe RE,16년 4월식,"111,590km",690만원
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,20년 11월식,"97,419km","1,960만원"
기아 올 뉴 모닝 (JA) 럭셔리,18년 12월식,"71,639km",830만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,14년 3월식,"76,461km",580만원
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD 프레스티지,21년 12월식,"63,240km","2,030만원"
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 프리미엄 초이스,20년 9월식,"66,965km","2,390만원"
현대 쏘나타 뉴 라이즈 2.0 스마트,17년 10월식(18년형),"128,129km","1,180만원"
기아 더 뉴 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처,24년 4월식,"20,450km","4,050만원"
기아 셀토스 가솔린 터보 1.6 2WD 그래비티,21년 12월식(22년형),"27,667km","2,350만원"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,18년 6월식(19년형),"81,204km","2,130만원"
폭스바겐 티구안 올스페이스 2.0 TSI 프레스티지,23년 5월식,"28,524km","3,080만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,23년 5월식,"29,614km","2,350만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,16년 11월식(17년형),"101,796km",590만원
제네시스 GV70 가솔린 터보 2.5 AWD,23년 1월식,"65,818km","4,430만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 익스클루시브,15년 6월식(16년형),"106,585km","1,360만원"
BMW 2시리즈 그란쿠페 (F44) 가솔린 2WD 220i M 스포츠,24년 8월식,"23,942km","3,360만원"
르노코리아(삼성) SM6 2.0 GDe SE,17년 12월식,"69,855km",730만원
현대 디 올 뉴 싼타페 하이브리드 터보 1.6 하이브리드 AWD 캘리그래피,24년 3월식,"18,523km","4,190만원"
기아 더 뉴 카니발 9인승 프레스티지,18년 9월식(19년형),"145,947km","1,390만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,23년 4월식,"105,031km","3,430만원"
현대 팰리세이드 디젤 2.2 2WD 익스클루시브 (7인승),22년 2월식,"77,422km","2,560만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 익스클루시브,16년 2월식,"100,170km","1,350만원"
기아 K8 가솔린 2.5 시그니처,22년 3월식,"112,716km","2,360만원"
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,21년 3월식,"61,955km","3,020만원"
기아 더 뉴 쏘렌토 4세대 디젤 2.2 2WD 시그니처,24년 11월식(25년형),"39,530km","3,460만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 4WD 프레스티지,21년 4월식,"76,921km","2,750만원"
현대 디 올 뉴 싼타페 하이브리드 터보 1.6 하이브리드 2WD 캘리그래피,23년 12월식(24년형),"5,490km","3,950만원"
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 시그니처,22년 5월식,"14,763km","2,720만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,20년 7월식,"105,247km","1,950만원"
현대 더 뉴 싼타페 디젤 2.2 2WD 프레스티지,21년 4월식,"47,066km","2,490만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 캐스퍼 가솔린 1.0 디 에센셜,24년 5월식,"20,280km","1,570만원"
기아 K8 가솔린 2.5 시그니처,22년 8월식(23년형),"23,692km","3,010만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 7월식,"53,207km","1,250만원"
BMW 1시리즈 (F20) 118d 스포츠 5도어,15년 4월식,"128,137km","1,020만원"
현대 LF 쏘나타 2.0 터보 익스클루시브,15년 11월식(16년형),"107,441km","1,000만원"
기아 더 뉴 니로 노블레스 스폐셜,19년 11월식(20년형),"107,498km","1,720만원"
제네시스 G70 2.0T AWD 엘리트,19년 12월식,"98,220km","1,930만원"
쉐보레(GM대우) 스파크 LT 기본형,11년 8월식(12년형),"57,442km",430만원
현대 쏘나타 DN8 하이브리드 프리미엄,21년 4월식,"91,352km","1,560만원"
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,14년 8월식(15년형),"54,559km",720만원
제네시스 G80 3.3 T-GDI AWD 스포츠,17년 1월식,"79,136km","2,890만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 10월식(22년형),"59,023km","1,700만원"
기아 올 뉴 모닝 (JA) 트렌디,18년 5월식,"57,085km",720만원
르노코리아(삼성) SM5 노바 클래식,18년 1월식,"106,645km",590만원
BMW 2시리즈 그란쿠페 (F44) 가솔린 2WD 220i M 스포츠,21년 9월식,"51,028km","2,650만원"
르노코리아(삼성) XM3 가솔린 1.6 LE Plus,20년 11월식,"99,807km","1,170만원"
기아 더 뉴 K3 트렌디 C 타입,16년 5월식,"114,937km",810만원
기아 셀토스 가솔린 터보 1.6 2WD 노블레스,20년 4월식,"54,106km","1,690만원"
르노코리아(삼성) All New SM7 RE 기본형,14년 10월식,"51,551km",650만원
기아 레이 럭셔리,13년 5월식,"57,247km",790만원
기아 올 뉴 쏘렌토 디젤 2.2 2WD 프레스티지,16년 2월식,"135,215km","1,230만원"
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),22년 6월식,"86,568km","2,790만원"
현대 코나 1.6 터보 2WD 모던 팝,18년 11월식,"57,343km","1,450만원"
쉐보레(GM대우) 더 뉴 말리부 2.0 터보 프리미어 스페셜,20년 12월식,"119,180km","1,180만원"
기아 더 뉴 레이 밴 (2인승) 프레스티지,22년 1월식,"71,539km",870만원
기아 올 뉴 프라이드 1.6 GDI 해치백 럭셔리 에코플러스,12년 5월식,"112,847km",410만원
폭스바겐 티구안 올스페이스 2.0 TSI 프레스티지,23년 2월식,"68,142km","3,050만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 10월식(22년형),"72,823km","1,870만원"
기아 모닝 어반 가솔린 1.0 프레스티지,20년 6월식(21년형),"12,485km","1,140만원"
기아 디 올 뉴 니로 트렌디,23년 3월식(24년형),"15,415km","2,450만원"
BMW X4 (G02) 디젤 4WD xDrive20d M 스포츠 프로,22년 5월식,"48,715km","5,280만원"
기아 더 뉴 모닝 (JA) 가솔린 1.0 시그니처,24년 8월식(25년형),"12,218km","1,650만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 3월식,"52,664km",620만원
KG모빌리티(쌍용) 티볼리 아머 LX 2WD,19년 5월식,"90,938km","1,030만원"
기아 K7 프리미어 가솔린 2.5 X 에디션,21년 2월식,"55,155km","2,180만원"
KG모빌리티(쌍용) 렉스턴 뉴 아레나 디젤 2.2 4WD 노블레스 5인승,24년 4월식,"26,324km","3,310만원"
제네시스 G70 2.0T 엘리트,20년 8월식,"119,685km","2,090만원"
기아 K3 럭셔리,15년 1월식,"113,971km",540만원
현대 아반떼 AD 1.6 e-VGT 스마트 스페셜,15년 12월식(16년형),"104,624km",850만원
기아 올 뉴 K3 노블레스,18년 7월식(19년형),"115,127km","1,290만원"
현대 팰리세이드 가솔린 3.8 4WD 캘리그래피 (7인승),22년 3월식,"40,057km","2,720만원"
폭스바겐 뉴 CC 2.0 TDI 블루모션,14년 1월식,"57,254km",890만원
현대 그랜저 HG HG240 모던 컬렉션,16년 12월식(17년형),"62,429km","1,100만원"
현대 아반떼 MD M16 GDI 에비뉴,13년 7월식(14년형),"88,472km",630만원
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,23년 4월식,"27,654km","2,750만원"
기아 올 뉴 K3 럭셔리,19년 7월식(20년형),"41,517km","1,190만원"
BMW 2시리즈 그란쿠페 (F44) 가솔린 2WD 220i M 스포츠,22년 8월식,"79,212km","2,550만원"
BMW 1시리즈 (F40) 가솔린 4WD M135i xDrive,21년 10월식(22년형),"52,339km","3,290만원"
기아 K5 3세대 가솔린 2.0 프레스티지,20년 2월식,"111,913km","1,490만원"
제네시스 G90 (RS4) 가솔린 AWD 3.5 터보,22년 3월식,"89,664km","6,120만원"
르노코리아(삼성) QM3 RE,15년 9월식,"93,983km",600만원
현대 그랜저 HG HG300 노블,12년 10월식,"103,454km",770만원
아우디 A4 (B9) 40 TFSI 프리미엄,19년 12월식,"56,156km","2,090만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 프레스티지,22년 12월식(23년형),"55,904km","2,430만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 스토닉 1.4 가솔린 트렌디,19년 2월식,"72,163km","1,180만원"
푸조 508 2세대 2.0 BlueHDi GT Line,21년 10월식,"83,624km","1,720만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,23년 1월식,"21,680km","4,080만원"
현대 쏘나타 DN8 1.6 터보 인스퍼레이션,20년 2월식,"124,001km","1,960만원"
BMW 5시리즈 (F10) 528i xDrive,15년 6월식,"79,142km","1,450만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,23년 1월식,"64,564km","5,070만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 블레이드,17년 12월식(18년형),"104,106km",860만원
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 10월식(22년형),"95,256km","1,610만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 5월식(21년형),"121,277km","1,490만원"
기아 올 뉴 모닝 (JA) 밴 고급형,19년 4월식,"42,037km",710만원
제네시스 GV80 가솔린 2.5 2WD (7인승),21년 6월식,"62,891km","4,320만원"
현대 엑센트(신형) 위트 1.4 VVT 프리미엄 세부등급 없음,13년 6월식(14년형),"57,443km",690만원
기아 올 뉴 모닝 (JA) LPi 디럭스,17년 5월식,"68,407km",820만원
현대 i30 (PD) 1.4 터보 스타일,17년 8월식(18년형),"128,125km",920만원
현대 쏘나타 더 브릴리언트 CVVL 모던,14년 1월식,"28,470km",950만원
제네시스 G70 2.0T 엘리트,18년 12월식(19년형),"108,158km","1,920만원"
르노코리아(삼성) SM6 2.0 GDe LE,16년 3월식,"94,115km",790만원
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,15년 8월식(16년형),"91,970km","1,590만원"
벤츠 GLC-클래스 X253 AMG GLC43 4MATIC,22년 7월식,"49,267km","5,610만원"
기아 더 뉴 모닝 럭셔리,15년 10월식(16년형),"69,059km",680만원
제네시스 G80 3.3 GDI AWD 프레스티지,18년 5월식,"102,214km","2,190만원"
쉐보레(GM대우) 스파크 LS 스타,12년 5월식,"45,538km",390만원
볼보 XC40 B4 얼티메이트 브라이트,23년 2월식,"16,321km","3,870만원"
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),21년 2월식,"28,965km","3,350만원"
폭스바겐 올 뉴 제타 1.4 가솔린 1.4 프레스티지,21년 2월식,"42,294km","1,760만원"
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 세부등급 없음,16년 8월식,"85,809km","1,340만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 VIP,20년 1월식,"44,436km","1,830만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄,20년 9월식,"31,969km","2,250만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 노블레스,21년 11월식(22년형),"64,232km","2,420만원"
현대 엑센트(신형) 1.4 VVT 프리미어,12년 5월식,"89,978km",570만원
미니 쿠퍼 클럽맨(2세대 F/L) T1,23년 4월식,"20,656km","2,630만원"
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,16년 5월식(17년형),"96,245km",890만원
현대 스타리아 디젤 2.2 투어러 (11인승) 4WD 스마트,23년 1월식,"78,103km","1,950만원"
제네시스 G80 3.3 GDI AWD 럭셔리,17년 9월식(18년형),"78,620km","1,690만원"
현대 올 뉴 투싼 디젤 1.7 2WD 모던 피버,16년 5월식(17년형),"68,626km","1,180만원"
쉐보레(GM대우) 트랙스 크로스오버 터보 1.2 RS,24년 5월식(25년형),"30,437km","2,240만원"
기아 더 뉴 기아 레이 밴 (2인승) 프레스티지 스페셜,23년 7월식,"55,052km","1,110만원"
BMW 3시리즈 (F30) 320d ED에디션,14년 11월식(15년형),"49,920km","1,390만원"
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (7인승),20년 7월식,"97,764km","2,450만원"
기아 니로 프레스티지,19년 2월식,"106,599km","1,490만원"
현대 엑센트(신형) 1.4 VVT 프리미어,12년 6월식,"66,007km",590만원
현대 더 뉴 그랜저 가솔린 2.5 스폐셜,21년 4월식,"113,541km","2,290만원"
쉐보레(GM대우) 스파크 LPG LT 기본형,14년 4월식,"38,937km",510만원
기아 K5 3세대 가솔린 2.0 시그니처,20년 4월식,"88,254km","1,960만원"
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 LS 디럭스,19년 6월식,"65,800km",990만원
현대 쏘나타 DN8 하이브리드 인스퍼레이션,20년 3월식,"121,711km","1,880만원"
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.3 RE,24년 2월식,"22,062km","2,150만원"
제네시스 G70 2.0T 슈프림,18년 1월식,"99,095km","1,950만원"
기아 스포티지 4세대 디젤 1.7 2WD 노블레스 세부등급 없음,18년 6월식,"85,408km","1,310만원"
기아 더 뉴 프라이드 4DR 1.6 GDI 럭셔리,16년 10월식,"80,360km",710만원
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5 플러스,20년 9월식(21년형),"103,643km","1,370만원"
기아 더 뉴 레이 트렌디,18년 5월식,"44,051km",930만원
기아 니로 노블레스,17년 11월식(18년형),"103,723km","1,530만원"
기아 더 뉴 레이 럭셔리,18년 1월식,"41,527km","1,050만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 디 올 뉴 스포티지 하이브리드 가솔린 터보 1.6 2WD 시그니처,21년 12월식(22년형),"34,130km","2,700만원"
쉐보레(GM대우) 임팔라 2.5 LTZ,16년 3월식,"67,211km",970만원
KG모빌리티(쌍용) 코란도 투리스모 4WD RX 9인승,16년 2월식,"93,446km",870만원
KG모빌리티(쌍용) 뉴 스타일 코란도 C 2.2 익스트림 2WD,18년 1월식,"89,757km",950만원
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,20년 9월식(21년형),"117,872km","2,680만원"
현대 제네시스 DH G330 프리미엄 AWD,15년 2월식,"81,323km","1,480만원"
미니 쿠퍼 (3세대) 5도어 HIGH,18년 1월식,"91,422km","1,230만원"
볼보 V60 크로스컨트리 2세대 가솔린 4WD B5 프로 AWD,21년 1월식,"82,475km","3,100만원"
기아 더 뉴 카니발 4세대 디젤 2.2 9인승 그래비티,24년 7월식(25년형),"34,400km","4,330만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 모던,20년 11월식,"89,931km","1,690만원"
벤츠 S-클래스 W223 가솔린 4WD S450L 4MATIC,23년 7월식,"99,561km","8,850만원"
현대 아반떼 AD 1.6 GDI 모던 세부등급 없음,16년 4월식,"96,323km",980만원
제네시스 G80 3.3 GDI AWD 프레스티지,18년 7월식,"54,037km","1,980만원"
아우디 A3 (8Y) 가솔린 2WD 40 TFSI,23년 5월식,"22,133km","2,590만원"
현대 아반떼 MD M16 GDI 에비뉴,13년 4월식,"105,661km",520만원
기아 K7 프리미어 가솔린 2.5 X 에디션,20년 6월식,"74,649km","2,290만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,23년 11월식(24년형),"40,595km","9,300만원"
BMW 5시리즈 (G30) 530i xDrive 럭셔리 플러스,18년 9월식,"88,529km","2,450만원"
제네시스 GV70 가솔린 터보 2.5 AWD,22년 1월식,"10,834km","4,390만원"
현대 더 뉴 맥스크루즈 가솔린 3.3 2WD 익스클루시브,17년 1월식,"78,218km","1,460만원"
기아 K3 프레스티지,15년 8월식,"99,896km",850만원
쉐보레(GM대우) 크루즈 1.8 LTZ+,13년 6월식(14년형),"108,897km",390만원
벤츠 E-클래스 W213 E300 4MATIC 익스클루시브,17년 10월식(18년형),"65,860km","2,670만원"
BMW X4 (G02) 가솔린 4WD xDrive20i M 스포츠 X,21년 3월식,"103,080km","3,490만원"
쉐보레(GM대우) 더 뉴 스파크 프리미어,19년 2월식,"47,194km",810만원
현대 더 뉴 i30 디젤 1.6 PYL,16년 1월식,"111,002km",840만원
기아 더 뉴 모닝 럭셔리,16년 12월식,"36,260km",770만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,21년 6월식,"67,524km","3,020만원"
기아 더 뉴 카니발 9인승 노블레스 스페셜,19년 7월식,"51,458km","2,020만원"
현대 쏘나타 DN8 2.0 LPi(렌터카용) 스타일,19년 12월식(20년형),"75,979km","1,280만원"
쉐보레(GM대우) 더 뉴 스파크 프리미어,19년 12월식(20년형),"12,096km",950만원
현대 투싼 (4세대) 1.6 터보 프리미엄,22년 5월식,"64,221km","2,220만원"
기아 더 뉴 쏘렌토 디젤 2.0 2WD 럭셔리,19년 5월식(20년형),"110,351km","1,390만원"
기아 더 뉴 모닝 스마트,15년 3월식(16년형),"45,535km",590만원
기아 니로 프레스티지,16년 6월식(17년형),"135,878km","1,180만원"
벤츠 GLC-클래스 X253 GLC300e 4MATIC,21년 1월식,"113,810km","3,290만원"
쉐보레(GM대우) 더 넥스트 스파크 에코 LTZ,16년 2월식,"59,486km",620만원
현대 투싼 (4세대) 2.0 디젤 인스퍼레이션,20년 12월식(21년형),"39,675km","2,640만원"
BMW X1 (F48) xDrive 20i xLine,20년 12월식(21년형),"28,103km","2,840만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,23년 3월식,"46,507km","5,190만원"
쉐보레(GM대우) 더 뉴 스파크 LT,19년 7월식,"46,490km",780만원
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,20년 4월식,"118,368km","1,950만원"
현대 코나 1.6 터보 2WD 모던 아트,19년 1월식,"89,952km","1,530만원"
제네시스 G80 3.3 GDI AWD 럭셔리,17년 1월식,"86,800km","1,840만원"
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,15년 1월식,"108,285km",660만원
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,21년 2월식,"80,465km","2,440만원"
기아 더 뉴 쏘렌토 디젤 2.2 2WD 노블레스,18년 5월식(19년형),"105,281km","1,670만원"
기아 K7 프리미어 가솔린 2.5 노블레스,20년 9월식,"65,303km","2,070만원"
